subject_id,run,target_volume,pred_class,saliency__Vis,saliency__SomMot,saliency__DorsAttn,saliency__SalVentAttn,saliency__Limbic,saliency__Cont,saliency__Default,integrated_gradients__Vis,integrated_gradients__SomMot,integrated_gradients__DorsAttn,integrated_gradients__SalVentAttn,integrated_gradients__Limbic,integrated_gradients__Cont,integrated_gradients__Default,shapley__Vis,shapley__SomMot,shapley__DorsAttn,shapley__SalVentAttn,shapley__Limbic,shapley__Cont,shapley__Default,lime__Vis,lime__SomMot,lime__DorsAttn,lime__SalVentAttn,lime__Limbic,lime__Cont,lime__Default
101309,LR,31,2,0.14379888772964478,0.248192697763443,0.10653626918792725,0.10280837118625641,0.060001008212566376,0.10827992111444473,0.23038288950920105,0.12727154791355133,0.27754467725753784,0.1296207457780838,0.1076282486319542,0.04898831993341446,0.10906312614679337,0.19988331198692322,0.019382091224082135,0.4422156968843039,0.21513383403481845,0.1425952410202534,0.03843576371254351,0.053747133124208646,0.08849023999978999,0.018682156727178455,0.4414222390802506,0.21626011618863505,0.1790794505718729,0.02745041053876731,0.03497503219845662,0.08213059469483905
101309,LR,33,2,0.1452840268611908,0.2456931471824646,0.11002213507890701,0.10118448734283447,0.05688987672328949,0.1088036373257637,0.2321227341890335,0.14198654890060425,0.28213441371917725,0.11856504529714584,0.11264043301343918,0.045609429478645325,0.11342420428991318,0.18563996255397797,0.0643644888871155,0.5128852027873815,0.18538471932041709,0.11183789996762696,0.029804636582085847,0.07375161010455748,0.021971442350815624,0.07087966133590144,0.49094597034670245,0.1889347769799339,0.15334213758140616,0.026603002335697463,0.05536824853724828,0.013926202883109957
101309,LR,35,2,0.1481560468673706,0.24568939208984375,0.1063762754201889,0.09819438308477402,0.05944337695837021,0.10942177474498749,0.23271876573562622,0.1291256546974182,0.2807937562465668,0.11881477385759354,0.11445789784193039,0.05071669816970825,0.11002147197723389,0.19606976211071014,0.0214887271498605,0.4750911547770349,0.2453597807236038,0.09461427368850422,0.0043980964178537505,0.08794996490277682,0.07109800234036599,0.028556799296836147,0.4376167721563866,0.25481600164987633,0.13011937204708157,0.006931178581364722,0.0659688273768399,0.07599104889161473
101309,LR,37,2,0.14685316383838654,0.2412623018026352,0.11021352559328079,0.10197646915912628,0.05612814798951149,0.11270562559366226,0.23086072504520416,0.13475973904132843,0.27409255504608154,0.12044370174407959,0.11362480372190475,0.045058343559503555,0.11729460954666138,0.19472627341747284,0.09198408939956508,0.5624038676251913,0.19759530009001267,0.07256871658664073,0.008432859159130257,0.04392756362774028,0.023087603511719623,0.1033630247822657,0.5191725754531236,0.20760501252702077,0.09997038951477717,0.0006624523033514508,0.038895980644049574,0.030330564775411795
101309,LR,39,2,0.14554595947265625,0.24353757500648499,0.11169519275426865,0.09877143055200577,0.0565461739897728,0.11258335411548615,0.23132024705410004,0.137343630194664,0.24454151093959808,0.1346888691186905,0.1092686727643013,0.04712940379977226,0.12446849793195724,0.20255930721759796,0.04311555123667843,0.6258740720767818,0.1474065702383584,0.03865666496201177,0.022536257641099147,0.0905362342961774,0.03187464954889311,0.05201341391221833,0.6039397516470183,0.1279649375062395,0.04531536871577967,0.02009505282142421,0.12403432090733409,0.026637154489986204
101309,LR,41,2,0.15273863077163696,0.22927652299404144,0.12036333978176117,0.09106577932834625,0.0598999559879303,0.11643707752227783,0.2302187979221344,0.1347568780183792,0.22653454542160034,0.12661951780319214,0.10072671622037888,0.05826317518949509,0.13216546177864075,0.22093364596366882,0.049072910787005194,0.2122695781116034,0.25105192453058056,0.03381010759662844,0.08009900881238198,0.22456820332034427,0.14912826684145614,0.0626326795301528,0.19858232599499448,0.24378511786459656,0.043875626541473485,0.10158176450688818,0.21490489993419098,0.1346375856277035
101309,LR,43,3,0.14854317903518677,0.24098742008209229,0.12219542264938354,0.10677573829889297,0.060081686824560165,0.11261837929487228,0.20879819989204407,0.13544084131717682,0.24392324686050415,0.15043245255947113,0.11596176028251648,0.05357873812317848,0.11486566811800003,0.18579734861850739,0.017056642030956675,0.21196348456955824,0.01980752311974278,0.46349613821872643,0.08667728946639058,0.18283268132647018,0.0181662412681551,0.026900681057084087,0.19020774469401322,0.014570414437564742,0.48368811010750073,0.08944388990371739,0.1887436361431454,0.006445523656974566
101309,LR,45,3,0.1557905375957489,0.24001803994178772,0.12362219393253326,0.10948877781629562,0.05752386152744293,0.10941275209188461,0.20414376258850098,0.1517653614282608,0.25200194120407104,0.13356293737888336,0.1066649928689003,0.05733345448970795,0.10469604283571243,0.19397525489330292,0.06509862361128355,0.20521537962080957,0.16329489257264113,0.3814445498431911,0.0003688720190507312,0.07794243931719151,0.10663524301583244,0.043791685815976436,0.21179025502989035,0.17801949486368962,0.36509996687810853,0.005115922853527083,0.09927128717934366,0.09691138737946449
101309,LR,47,3,0.16251647472381592,0.24071291089057922,0.12331904470920563,0.11105600744485855,0.059276897460222244,0.10273407399654388,0.20038454234600067,0.1490248441696167,0.24373309314250946,0.1560399830341339,0.11626676470041275,0.054637473076581955,0.10053829103708267,0.17975957691669464,0.023860742260273893,0.27749978246637724,0.16234017128207953,0.26881009652161836,0.09022545311481404,0.03981832424215427,0.13744543011268265,0.03839005756602771,0.2496265663971833,0.17369249627728814,0.2549698167074912,0.102531978647646,0.05168475397091463,0.129104330433449
101309,LR,49,3,0.15541335940361023,0.24672110378742218,0.12182816118001938,0.1087300032377243,0.059118252247571945,0.10852079838514328,0.1996683031320572,0.16054938733577728,0.2361992448568344,0.1369505524635315,0.10975631326436996,0.058453936129808426,0.10672533512115479,0.19136527180671692,0.09461897527340357,0.23407686313339335,0.0982028390153564,0.24013278598557664,0.06768641231357056,0.18323612729111835,0.08204599698758112,0.09619262048442401,0.22626060141982676,0.1056929354122806,0.241125972706619,0.06836051993858043,0.18674968132893272,0.07561766870933635
