subject_id,has_dti,has_rest,n_task_types,has_motor,has_wm,has_gambling,has_language,has_social,has_relational,has_emotion,has_movie,has_retbar,has_retccw,has_retcw,has_retcon,has_retexp
117728,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
117930,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
118023,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
118124,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
118225,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
118528,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
118730,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
118831,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
118932,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
119025,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
119126,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
119732,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
119833,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
120010,True,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
120111,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
120212,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
120414,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
120515,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
120717,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
121315,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
121416,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
121618,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
121719,True,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
121820,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
121921,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
122317,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
122418,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
122620,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
122822,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
123117,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
123420,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
123521,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
123723,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
123824,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
123925,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
124220,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
124422,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
124624,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
124826,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
125222,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
125424,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
125525,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
126325,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
126426,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
126628,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
126931,False,True,6,False,False,False,False,False,False,False,True,True,True,True,True,True
127226,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
127327,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
127630,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
127731,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
127832,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
127933,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
128026,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
128127,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
128329,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
128632,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
128935,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
129028,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
129129,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
129331,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
129432,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
129533,False,True,0,False,False,False,False,False,False,False,False,False,False,False,False,False
129634,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
129937,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
130013,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
130114,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
130316,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
130417,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
130518,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
130619,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
130720,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
130821,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
130922,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
131217,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
131419,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
131621,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
131722,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
131823,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
131924,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
132017,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
